sample,GATK,mpileup,intersection,resi,unresi,unrepeted,repeted,SNP_frequency>1,sample_intersec,100,sample_alias
ERR550984,1482,1974,1418,21,1397,1228,169,1207,,,8889-01
ERR551007,1527,1596,1452,19,1433,1239,194,1158,,,8195-08
ERR551071,1480,1543,1416,19,1397,1227,170,1202,,,4703-09
ERR551079,1472,1697,1411,19,1392,1249,143,1227,,,4688-09
ERR551086,1431,1655,1378,18,1360,1175,185,1174,,,575-03
ERR551090,1474,1654,1417,22,1395,1234,161,1224,,,3297-06
ERR551159,1514,1684,1459,26,1433,1254,179,1207,,,679-04
ERR551201,1441,2054,1396,19,1377,1216,161,1190,,,49-02
ERR551212,1488,1711,1422,23,1399,1246,153,1243,,,9847-95
ERR551214,1284,1368,1247,18,1229,1108,121,1066,,,967-02
ERR551225,1480,1551,1402,18,1384,1176,208,1077,,,3435-06
ERR551293,1557,1629,1463,20,1443,1245,198,1200,,,9829-08
ERR551305,1487,2285,1421,23,1398,1249,149,1215,,,1312-05
ERR551311,1509,1698,1434,23,1411,1246,165,1237,,,5712-95
ERR551412,1349,1521,1310,23,1287,1155,132,1134,,,4730-03
ERR551494,1518,1813,1446,24,1422,1259,163,1237,,,2488-02
ERR551520,1604,1598,1496,19,1477,1264,213,1232,,,4484-07
ERR551549,1814,2434,1523,25,1498,1324,174,1194,,,5250-07
ERR551554,1476,1559,1412,23,1389,1234,155,1220,,,4769-05
ERR551572,1437,1597,1364,17,1347,1193,154,1073,,,3936-02
ERR551575,1261,1355,1221,24,1197,1090,107,1083,,,3075-05
ERR551636,1453,1726,1371,18,1353,1192,161,1178,,,7750-01
ERR551638,1494,2223,1402,23,1379,1232,147,1204,,,10735-04
ERR551688,1421,1476,1373,20,1353,1227,126,1201,,,7443-10
ERR551772,1605,1857,1495,22,1473,1218,255,1206,,,4461-02
ERR551879,1485,1590,1417,19,1398,1235,163,1202,,,1232-02
ERR551930,1502,1776,1434,19,1415,1245,170,1179,,,8378-11
ERR551934,1586,1625,1500,19,1481,1244,237,1239,,,1339-07
ERR551990,1561,1685,1485,19,1466,1267,199,1163,,,3015-05
ERR552090,1580,1665,1491,22,1469,1271,198,1247,,,10836-09
ERR552130,1488,1577,1431,20,1411,1218,193,1166,,,2280-07
ERR552136,1517,1687,1429,24,1405,1239,166,1237,,,12615-95
ERR552141,1452,1569,1402,26,1376,1237,139,1219,,,966-95
ERR552177,1465,1622,1402,19,1383,1185,198,1028,,,3944-06
ERR552190,1539,1588,1463,19,1444,1254,190,1179,,,8662-05
ERR552194,1534,2218,1452,23,1429,1262,167,1163,,,7454-06
ERR552219,1441,1619,1366,23,1343,1199,144,1190,,,10812-03
ERR552331,1484,1631,1407,19,1388,1223,165,1215,,,FA3-1367
ERR552358,1498,1753,1440,24,1416,1245,171,1233,,,9048-05
ERR552429,1488,1640,1432,26,1406,1247,159,1228,,,3684-08
ERR552479,1779,1833,1636,25,1611,1312,299,1287,,,4419-02
ERR552482,1549,1987,1461,25,1436,1248,188,1238,,,10721-03
ERR552555,1487,1702,1419,21,1398,1222,176,1133,,,8372-95
ERR552580,1489,1732,1426,25,1401,1238,163,1219,,,9700-04
ERR552743,1431,1561,1375,19,1356,1215,141,1202,,,6265-09
ERR552755,1422,1694,1355,18,1337,1166,171,1158,,,1691-01
ERR552760,1452,1741,1368,18,1350,1187,163,1173,,,57-02
ERR552787,1484,1872,1410,19,1391,1229,162,1212,,,FA3-1037
ERR552830,1436,1626,1379,19,1360,1226,134,1215,,,R06-0174
ERR552838,1455,1596,1395,19,1376,1185,191,1087,,,7253-02
ERR552907,1504,2057,1425,24,1401,1239,162,1219,,,10530-05
ERR552912,1513,1630,1437,18,1419,1191,228,1189,,,5331-05
ERR552949,1420,1606,1370,21,1349,1217,132,1121,,,11458-02
ERR552954,1467,1618,1404,21,1383,1225,158,1093,,,8038-95
ERR553068,1470,1624,1390,24,1366,1228,138,1218,,,683-05
ERR553086,1575,1638,1482,19,1463,1240,223,1238,,,8654-06
ERR553098,1523,1948,1426,24,1402,1245,157,1232,,,4546-04
ERR553107,1446,1629,1396,24,1372,1184,188,1038,,,7424-07
ERR553116,1475,1604,1386,20,1366,1218,148,1117,,,8304-09
ERR553139,1493,1783,1429,23,1406,1244,162,1171,,,10734-04
ERR553171,1497,3051,1439,19,1420,1242,178,1196,,,7194-05
ERR553237,1487,1708,1414,22,1392,1242,150,1218,,,474-05
ERR553251,1602,1810,1496,25,1471,1219,252,1215,,,9686-04
ERR553277,1471,1623,1402,20,1382,1217,165,1172,,,4203-01
ERR553291,1468,1635,1398,19,1379,1226,153,1167,,,1314-04
ERR553313,1502,1710,1414,24,1390,1255,135,1240,,,10507-09
ERR553324,1477,1556,1415,19,1396,1231,165,1201,,,4276-09
ERR619080,1475,1774,1417,19,1398,1232,166,1218,,,4287-09
,,,,,,,0,,,,
